clinician_id,first_name,last_name,title,speciality,gmc_number,phone_number,email,workplace_id,workplace_type,employment_status,start_date
C001,Dr. David,Thompson,GP,General Practice,7654321,,d.thompson@birminghamgp.nhs.uk,S001,,,
C002,Dr. Helen,Roberts,GP,General Practice,7654322,,h.roberts@birminghamgp.nhs.uk,S001,,,
C003,Dr. Mark,Davies,GP,General Practice,7654323,,m.davies@solihullgp.nhs.uk,S002,,,
C004,Dr. Susan,Clarke,GP,General Practice,7654324,,s.clarke@suttongp.nhs.uk,S003,,,
C005,Dr. Richard,Evans,Consultant,Cardiology,7654325,,r.evans@heartlandshospital.nhs.uk,H001,,,
C006,Dr. Maria,Rodriguez,Consultant,Neurology,7654326,,m.rodriguez@heartlandshospital.nhs.uk,H001,,,
C007,Dr. Andrew,White,Consultant,Orthopaedics,7654327,,a.white@queenshospital.nhs.uk,H002,,,
C008,Dr. Jennifer,Lee,Consultant,Dermatology,7654328,,j.lee@birminghamhospital.nhs.uk,H003,,,
C009,Sister Mary,Kelly,Nurse,General Nursing,N654321,,m.kelly@birminghamgp.nhs.uk,S001,,,
C010,Nurse Jane,Phillips,Nurse,Practice Nursing,N654322,,j.phillips@solihullgp.nhs.uk,S002,,,
C011,Nurse Robert,Green,Nurse,General Nursing,N654323,,r.green@heartlandshospital.nhs.uk,H001,,,
C012,Dr. Paul,Harris,Consultant,Gastroenterology,7654329,,p.harris@queenshospital.nhs.uk,H002,,,
C013,Aleksandr,Zaborskikh,GP,General Practice,7777777,,az23aav@herts.ac.uk,S001,,,
