patient_id,first_name,last_name,date_of_birth,nhs_number,gender,phone_number,email,address,postcode,emergency_contact_name,emergency_contact_phone,registration_date,gp_surgery_id
P001,John,Smith,,1234567890,,,john.smith@email.com,,,,,,S001
P002,Emma,Johnson,,2345678901,,,emma.johnson@email.com,,,,,,S001
P003,Robert,Williams,,3456789012,,,robert.williams@email.com,,,,,,S002
P004,Sarah,Brown,,4567890123,,,sarah.brown@email.com,,,,,,S001
P005,Michael,Davis,,5678901234,,,michael.davis@email.com,,,,,,S003
P006,Linda,Miller,,6789012345,,,linda.miller@email.com,,,,,,S002
P007,James,Wilson,,7890123456,,,james.wilson@email.com,,,,,,S001
P008,Patricia,Moore,,8901234567,,,patricia.moore@email.com,,,,,,S003
P009,Christopher,Taylor,,9012345678,,,christopher.taylor@email.com,,,,,,S002
P010,Elizabeth,Anderson,,0123456789,,,elizabeth.anderson@email.com,,,,,,S001
P011,Aleksandr,Zaborskikh,,0000000000,,,az23aav@herts.ac.uk,,,,,,S000
